kanji,furigana,meaning,tags,guid,romaji,hanviet
～港,～こう,~ port,JLPT JLPT_2,vQbZYeISYX,~kou,CẢNG
～号,～ごう,counter for magazine; the name of ship,JLPT JLPT_2,qiAK;eRQt!,~gou,HÀO
～国,～こく,nation of ~,JLPT JLPT_2,m~(IN:3:#0,~koku,QUỐC
～毎,～ごと,"every ~, each ~",JLPT JLPT_2,Bs7#M8Tn1H,~goto,MỖI
～山,～さん,the name of mountain,JLPT JLPT_2,vw^f*9f$12,~san,SAN
～産,～さん,made in ~,JLPT JLPT_2,tJtC7!P@]H,~san,SẢN
～史,～し,history of ~,JLPT JLPT_2,y`(f6xau3#,~shi,SỬ
～紙,～し,"newspaper, type of paper",JLPT JLPT_2,y0d}(mMiCt,~shi,CHỈ
～寺,～じ,the name of temple,JLPT JLPT_2,Nj@/ru^JH5,~ji,TỰ
～時間目,～じかんめ,"~th hour, ~th period",JLPT JLPT_2,LonTM0:Ie8,~jikanme,THÌ GIAN MỤC
～室,～しつ,counter for room,JLPT JLPT_2,eycwn`U+hZ,~shitsu,THẤT
～日,～じつ,day,JLPT JLPT_2,jkFuTgpXi`,~jitsu,NHẬT
～車,～しゃ,~ car,JLPT JLPT_2,h)<Q^X85ag,~sha,XA
～者,～しゃ,person,JLPT JLPT_2,MTv(a]7l!6,~sha,GIẢ
～社,～しゃ,counter for company,JLPT JLPT_2,sQmjhXA-Mr,~sha,XÃ
～手,～しゅ,"~ player, person who does ~",JLPT JLPT_2,IkixzX56yl,~shu,THỦ
～酒,～しゅ,kind of alcohol,JLPT JLPT_2,k?BC&(RjAH,~shu,TỬU
～集,～しゅう,collection of ~,JLPT JLPT_2,LdT;R@utl1,~shuu,TẬP
～所,～しょ,place,JLPT JLPT_2,qVV9fum9%7,~sho,SỞ
～所,～じょ,place,JLPT JLPT_2,cE:Y(}3[Wc,~jo,SỞ
～女,～じょ,count for sisters,JLPT JLPT_2,D4j(w~c1gi,~jo,NỮ
～省,～しょう,kind of ministry,JLPT JLPT_2,v9~DY$oS}A,~shou,TỈNH
～商,～しょう,"merchant, business",JLPT JLPT_2,DK0!oyaXJR,~shou,THƯƠNG
～勝,～しょう,count for victory,JLPT JLPT_2,E_qw?Tzvk_,~shou,THẮNG
～条,～じょう,counter for article,JLPT_1 JLPT JLPT_2,q^S9+[e=*b,~jou,ĐIỀU
～場,～じょう,"kind of field, ground",JLPT JLPT_2,eh5O)[W8C@,~jou,TRÀNG
～畳,～じょう,"count for tatami, mat",JLPT JLPT_2,gXTr~P6_;?,~jou,ĐIỆP
～色,～しょく,kind of color,JLPT JLPT_2,w$+z1REIYB,~shoku,SẮC
～過ぎる,～すぎる,too much ~,JLPT JLPT_2,"P,ja3J!YLK",~sugiru,QUÁ
～済,～ずみ,finished,JLPT JLPT_2,ncGw.Yh;>r,~zumi,
～席,～せき,counter for seats,JLPT JLPT_2,sr9PdG~4;[,~seki,TỊCH
～船,～せん,counter for ships,JLPT JLPT_2,JSy<S}QGsV,~sen,THUYỀN
～戦,～せん,"counter for games, matches",JLPT JLPT_2,M$gHOq[jYN,~sen,CHIẾN
～前,～ぜん,before ~,JLPT JLPT_2,DTK5j`gi24,~zen,TIỀN
～沿い,～そい,along,JLPT JLPT_2,"sbv*I,a%(h",~soi,DUYÊN
～艘,～そう,counter for ships,JLPT JLPT_2,AT^w8|Z/Tg,~sou,
～足,～そく,counter for shoes,JLPT JLPT_2,q&YH/C!y&b,~soku,TÚC
～だらけ,～だらけ,"be full of ~, be filled with ~",JLPT JLPT_2,C*zDXpDGOo,~darake,
～団,～だん,"group, corps, party",JLPT JLPT_2,"JAUz(u,OT1",~dan,ĐOÀN
～着,～ちゃく,counter for clothes; finishing place,JLPT JLPT_2,LNy/i0~?h*,~chaku,TRỨ
～庁,～ちょう,"office, agency",JLPT JLPT_2,Nh*HbZ~CkX,~chou,SẢNH
～兆,～ちょう,trillion,JLPT JLPT_2,jHeL$YV:ox,~chou,TRIỆU
～長,～ちょう,"leader, head",JLPT JLPT_2,i0hy<f%]dq,~chou,TRƯỜNG
～帳,～ちょう,"~ book, notebook",JLPT JLPT_2,e.I(|go>z(,~chou,TRƯỚNG
～丁目,～ちょうめ,"~ district (of a town; city, block)",JLPT JLPT_2,z[Zeu>wor`,~choume,ĐINH MỤC
～通,～つう,counter for letters,JLPT JLPT_2,gcs`gQZBri,~tsuu,THÔNG
～遣い,～づかい,use of ~,JLPT JLPT_2,C?GOcbN8fi,~zukai,KHIỂN
～付,～つき,with ~,JLPT JLPT_2,L%2+~L_:IY,~tsuki,PHÓ
～続く,～つづく,"follow, continue, go on",JLPT JLPT_2,u%o(or2@%{,~tsuzuku,TỤC
～辛い,～づらい,hard to do ~,JLPT JLPT_2,u@W}x:nhL8,~zurai,TÂN
～滴,～てき,drop,JLPT JLPT_2,J%ti108Zf0,~teki,TÍCH
～点,～てん,counter for scores,JLPT JLPT_2,Q=wx{JnD0/,~ten,ĐIỂM
～頭,～とう,counter for animals,JLPT JLPT_2,Q04jNq<%}1,~tou,ĐẦU
～等,～とう,"level, place",JLPT JLPT_2,t~N);db(/R,~tou,ĐẲNG
～島,～とう,kind of islands,JLPT JLPT_2,xDO?MQ[t-7,~tou,ĐẢO
～道,～どう,"kind of path, road",JLPT JLPT_2,NK#jvaQLbz,~dou,ĐẠO
～通り,～とおり,"in accordance with ~; following ~; ~ street, ~ avenue",JLPT JLPT_2,i!k>vq-guB,~toori,THÔNG
～ところ,～ところ,about to do ~,JLPT JLPT_2,B;8DjvC&9},~tokoro,
～内,～ない,inside ~,JLPT JLPT_2,K?<zC9:h:N,~nai,NỘI
～年生,～ねんせい,counter for school year,JLPT JLPT_2,seB~`F&UPJ,~nensei,NIÊN SANH
～泊,～はく,"counter for staying (e.g., 2 nights)",JLPT JLPT_2,PblG<4:M5~,~haku,BẠC
～発,～はつ,counter for bullets,JLPT JLPT_2,e#d]&/=XN},~hatsu,PHÁT
～番目,～ばんめ,~th,JLPT JLPT_2,i*esVeP_ak,~banme,PHIÊN MỤC
～費,～ひ,cost of ~,JLPT JLPT_2,u[jm+{6L3X,~hi,PHÍ
～病,～びょう,kind of disease,JLPT JLPT_2,A*!}.Pwu5m,~byou,BỆNH
～部,～ぶ,~ part,JLPT JLPT_2,fPDrnMwV)X,~bu,BỘ
～風,～ふう,~ style,JLPT JLPT_2,l^t;?>.nOp,~fuu,PHONG
～振り,～ぶり,after an interval of ~,JLPT JLPT_2,;^fUn`g0d,~buri,CHẤN
～遍,～へん,time,JLPT JLPT_2,K&5Px_U7gs,~hen,BIẾN
～弁,～べん,"speech, dialect",JLPT JLPT_2,jOUF!M-NS3,~ben,BIỆN
～歩,～ほ,"step, pace",JLPT JLPT_2,Bd!L5Wz^Su,~ho,BỘ
～ぽい,～ぽい,~ish,JLPT JLPT_2,f_=g;f`{~[,~poi,
～ほう (ひかく),～ほう (ひかく),(in comparison),JLPT JLPT_2,bVM<L+hK+`,~hou (hikaku),
～みたい,～みたい,looks like ~,JLPT JLPT_2,N{CD^3;+~1,~mitai,
～向け,～むけ,for ~,JLPT JLPT_2,"Gc8ij%t,3=",~muke,HƯỚNG
～名,～めい,counter for people,JLPT JLPT_2,u?LD1<v]&U,~mei,DANH
～もち,～もち,person who has ~,JLPT JLPT_2,kcFc6H|EaR,~mochi,
～問,～もん,counter for questions,JLPT JLPT_2,r$GN8{}74-,~mon,VẤN
～夜,～や,counter for nights,JLPT JLPT_2,Cczj9?Yw&<,~ya,DẠ
～等,～ら,plural persons,JLPT JLPT_2,yo94:>GuX6,~ra,ĐẲNG
～流,～りゅう,"fashion, manner, way",JLPT JLPT_2,zpH1qv^$%p,~ryuu,LƯU
～料,～りょう,"fare, charge",JLPT JLPT_2,IX116ZKh4C,~ryou,LIÊU
～領,～りょう,territory,JLPT JLPT_2,MXZX<Kqb>,~ryou,LĨNH
～力,～りょく,power of ~,JLPT JLPT_2,G<sBHiz^]!,~ryoku,LỰC
～論,～ろん,theory,JLPT JLPT_2,"ec<,e&v$V7",~ron,LUẬN
～羽,～わ,counter for rabbits; birds,JLPT JLPT_2,FQL)TF/a}O,~wa,VŨ
相変わらず,あいかわらず,"as usual, as always, as before, as ever, still",JLPT JLPT_2,B>ep8MopYw,aikawarazu,
アイデア; アイディア,アイデア; アイディア,idea,JLPT JLPT_2,NkL-h!TKp$,aidea; aidia,
あいまい,あいまい,"vague, ambiguous",JLPT JLPT_2,"y8aZ,my]%p",aimai,
扇ぐ,あおぐ,"to fan, to flap",JLPT JLPT_2,Gk2+[0&j}c,aogu,PHIẾN
青白い,あおじろい,pale,JLPT JLPT_2,B[(dutQ)|%,aojiroi,THANH BẠCH
呆れる,あきれる,"to be shocked, to be appalled",JLPT JLPT_2,o8s#rYeo4>,akireru,NGỐC
アクセント,アクセント,accent,JLPT JLPT_2,"w=+|,GhTIn",akusento,
あくび,あくび,yawn,JLPT JLPT_2,v|~6.5@[n^,akubi,
飽くまで,あくまで,"to the end, to the last, stubbornly",JLPT JLPT_2,"vD,5@+@_q]",akumade,BÃO
明くる～,あくる～,"next, following",JLPT JLPT_2,c0UJ5Dk9?v,akuru~,MINH
明け方,あけがた,dawn,JLPT JLPT_2,pi=5b}Xk:R,akegata,MINH PHƯƠNG
憧れる,あこがれる,"to long for, to yearn after",JLPT JLPT_2,c:=`W|}Gw`,akogareru,SUNG
朝寝坊,あさねぼう,"oversleeping, late riser",JLPT JLPT_2,kR|>&(p6rG,asanebou,TRIÊU TẨM PHƯỜNG
足跡,あしあと,footprint,JLPT JLPT_2,lj:ebvgd-q,ashiato,TÚC TÍCH
足元,あしもと,at one's feet,JLPT JLPT_2,Ha)Qe[babj,ashimoto,TÚC NGUYÊN
味わう,あじわう,"to taste, to savor",JLPT JLPT_2,uxSo4jtf~d,ajiwau,VỊ
預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of",JLPT JLPT_2,LJpv~D13xj,azukaru,DỰ
温まる,あたたまる,to warm oneself,JLPT JLPT_2,B5XhWyF.q9,atatamaru,ÔN
当たり前,あたりまえ,"natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm",JLPT JLPT_2,b#?!|FvT)4,atarimae,ĐƯƠNG TIỀN
あちらこちら,あちらこちら,here and there,JLPT JLPT_2,Q~Ip4wR{af,achirakochira,
厚かましい,あつかましい,"impudent, shameless,",JLPT JLPT_2,"wZ0,_rCNQo",atsukamashii,HẬU
圧縮,あっしゅく,"compression, condensation, pressure",JLPT JLPT_2,G:WAF/Dx1i,asshuku,ÁP SÚC
宛名,あてな,"address, direction",JLPT JLPT_2,"Q!,(6>`cO,",atena,UYỂN DANH
当てはまる,あてはまる,"to be applicable, to come under (a category)",JLPT JLPT_2,gWVd1Z[tfA,atehamaru,ĐƯƠNG
当てはめる,あてはめる,"to apply, to adapt",JLPT JLPT_2,OP(Hu}mMQq,atehameru,ĐƯƠNG
暴れる,あばれる,"to act violently, to rage",JLPT JLPT_2,L6trU>v^!,abareru,BẠO
脂,あぶら,"fat, tallow, lard",JLPT JLPT_2,t@*Ov{e4RP,abura,CHI
あぶる,あぶる,"to scorch, to roast",JLPT JLPT_2,Jz@lzbGk7x,aburu,
あふれる,あふれる,"to flood, to overflow",JLPT JLPT_2,be7:(ploED,afureru,
雨戸,あまど,sliding storm door,JLPT JLPT_2,v+crs*_nva,amado,VŨ HỘ
甘やかす,あまやかす,"to pamper, to spoil",JLPT JLPT_2,f~Uvnb+KP=,amayakasu,CAM
余る,あまる,"to be left over, to be in excess",JLPT JLPT_2,r`ob2WL<}I,amaru,DƯ
編み物,あみもの,knitting,JLPT JLPT_2,KBOilYWmo2,amimono,BIÊN VẬT
あみもの,あみもの,"knitting, web",JLPT JLPT_2,"wR7~d.J/,$",amimono,
編む,あむ,to knit,Genki Genki_Ln.13 JLPT JLPT_2,"Bcd5,b]]w5",amu,BIÊN
危うい,あやうい,"dangerous, critical",JLPT JLPT_2,JYnP1Z3O1n,ayaui,NGUY
怪しい,あやしい,"suspicious, dubious, doubtful",JLPT JLPT_2,r?rB[7EP>5,ayashii,QUÁI
荒い,あらい,"rough, rude, wild",JLPT JLPT_2,P5h|CxAaCE,arai,HOANG
粗い,あらい,"coarse, rough",JLPT JLPT_2,t~Hs$2O?FD,arai,THÔ
粗筋,あらすじ,"outline, synopsis",JLPT JLPT_2,GLP0^5#h&@,arasuji,THÔ CÂN
争う,あらそう,"to compete, to contest, to contend to quarrel, to argue, to dispute, to be at variance, to oppose",JLPT JLPT_2,eC6vp6J:;c,arasou,TRANH
改めて,あらためて,"another time, again",JLPT JLPT_2,M$)j_R%uiN,aratamete,CẢI
改める,あらためる,"to change, to reform, to revise",JLPT JLPT_2,k-ggJ#W2U),aratameru,CẢI
あらわす,あらわす,"to write, to publish",JLPT JLPT_2,jfH_)2c|9s,arawasu,
有難い,ありがたい,"grateful, thankful, appreciated",JLPT JLPT_2,yLS%JRr`~I,arigatai,HỮU NAN
あれこれ,あれこれ,"one thing or another, this and that",JLPT JLPT_2,H3{e@Ms<u9,arekore,
荒れる,あれる,"to be stormy, to be rough, to be ruined",JLPT JLPT_2,opLT~#LruK,areru,HOANG
慌ただしい,あわただしい,"busy, hurried",JLPT JLPT_2,"d*5}[C^,EG",awatadashii,
慌てる,あわてる,"to become confused (disconcerted, disorganized), to be flustered, to panic, to hurry, to rush, to hasten",JLPT JLPT_2,RdWuu8/jDE,awateru,HOẢNG
安易,あんい,easy-going,JLPT JLPT_2,cpsk;f2&m/,an'i,AN DỊCH
案外,あんがい,"unexpectedly, surprisingly",JLPT JLPT_2,"E-`?,aYenW",angai,ÁN NGOẠI
アンテナ,アンテナ,antenna,JLPT JLPT_2,u25h^5*Vx<,antena,
言い出す,いいだす,"to start talking, to suggest",JLPT JLPT_2,ma-oStit-!,iidasu,NGÔN XUẤT
言い付ける,いいつける,"to tell, to order",JLPT JLPT_2,K=!C~7x9Db,iitsukeru,
意義,いぎ,"meaning, significance",JLPT JLPT_2,K*wt2r`%<B,igi,Ý NGHĨA
生き生き,いきいき,"vividly, lively",JLPT JLPT_2,Am|5$tSksY,ikiiki,SANH SANH
いきなり,いきなり,all of a sudden,Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_2,J=<-XB_N-t,ikinari,
幾～,いく～,several ~,JLPT JLPT_2,o<XZoP)ZFl,iku~,KI
育児,いくじ,"childcare, nursing",Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2,hwmLlQK_:7,ikuji,DỤC NHI
幾分,いくぶん,somewhat,JLPT JLPT_2,wUiE3U*>P6,ikubun,KI PHÂN
生け花,いけばな,flower arrangement,JLPT JLPT_2,o!9H~`j>Ob,ikebana,SANH HOA
以後,いご,after this; from now on; hereafter,JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese,"OpKq9d,k&%",igo,DĨ HẬU
イコール,イコール,equal,JLPT JLPT_2,F:$jr>Gcvz,ikooru,
以降,いこう,"on and after, hereafter",JLPT JLPT_2,"hI7gX,ojpA",ikou,DĨ HÀNG
勇ましい,いさましい,"brave, valiant",JLPT JLPT_2,jh9$B&!xLP,isamashii,DŨNG
衣食住,いしょくじゅう,"food, clothing and shelter",JLPT JLPT_2,yYjE5SKh.|,ishokujuu,Y THỰC TRỤ
いちいち,いちいち,"one by one, separately",JLPT JLPT_2,c`q7>|uO;;,ichiichi,
一応,いちおう,"tentatively, for the time being",JLPT JLPT_2,DUm[|ty]2z,ichiou,NHẤT ỨNG
一段と,いちだんと,"by far, greater",JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,H2Se/ybI3t,ichidanto,NHẤT ĐOẠN
一流,いちりゅう,"first class, leading",JLPT JLPT_2,Q-z[xmuvA*,ichiryuu,NHẤT LƯU
一昨日,いっさくじつ,day before yesterday,JLPT JLPT_2,q)l_a#Mm^@,issakujitsu,NHẤT TẠC NHẬT
一昨年,いっさくねん,year before last,JLPT JLPT_2,H3]XYSojiI,issakunen,NHẤT TẠC NIÊN
一斉,いっせい,"simultaneous, all at once",JLPT JLPT_2,H3C62{9DP`,issei,NHẤT TỀ
一旦,いったん,"once, for a moment",JLPT JLPT_2,"Fv;m,:R#X(",ittan,NHẤT ĐÁN
一定,いってい,"fixed, settled, regular",JLPT JLPT_2,Qx{lB{;UG~,ittei,NHẤT ĐỊNH
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you",JLPT JLPT_2,Q~[>k~aD(O,itteirasshai,HÀNH
いってきます,いってきます,"(Lit.) I'll go and come back, 'I'm going, see you later'",JLPT JLPT_2,O;VZoV$S8W,ittekimasu,
いってまいります,いってまいります,"(Lit.) I'll go and come back, 'I'm going, see you later'",JLPT JLPT_2,wg6qf;hcRZ,ittemairimasu,
行ってらっしゃい,いってらっしゃい,"have a nice day, see you",JLPT JLPT_2,eL-o)31hPE,itterasshai,HÀNH
移転,いてん,"moving, transfer",JLPT JLPT_2,A[fI%[bpSh,iten,DI CHUYỂN
井戸,いど,water well,JLPT JLPT_2,"Fw}ob1+9,G",ido,TỈNH HỘ
緯度,いど,latitude (navigation),JLPT JLPT_2,mKsQtDevFo,ido,VĨ ĐỘ
威張る,いばる,"to be proud, to swagger",JLPT JLPT_2,kEp;c{E_R1,ibaru,UY TRƯƠNG
嫌がる,いやがる,"reluctant, to dislike",JLPT JLPT_2,wwKIWtwwb&,iyagaru,HIỀM
いよいよ,いよいよ,"more and more, increasingly, at last",JLPT JLPT_2,h5$?Ko/s)4,iyoiyo,
煎る,いる,to roast,JLPT JLPT_2,"bLrppO],[q",iru,TIÊN
炒る,いる,"to parch, to roast",JLPT JLPT_2,dcy>(4#yAy,iru,SAO
入れ物,いれもの,"container, case",JLPT JLPT_2,RbLFeu/vvY,iremono,NHẬP VẬT
インキ,インキ,ink,JLPT JLPT_2,I{rR0;+{t|,inki,
引力,いんりょく,gravity,JLPT JLPT_2,cP:.V7Ysb%,inryoku,DẪN LỰC
ウーマン,ウーマン,woman,JLPT JLPT_2,"O5m,c!v(H5",uuman,
ウール,ウール,wool,JLPT JLPT_2,bgePnfbn;n,uuru,
ウエートレス,ウエートレス,waitress,JLPT JLPT_2,C$[Z6H5/gO,ueetoresu,
植木,うえき,"garden shrubs, trees, potted plant",JLPT JLPT_2,j}3Ny1eUVB,ueki,THỰC MỘC
飢える,うえる,to starve,JLPT JLPT_2,CQMZtp4T24,ueru,CƠ
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",JLPT JLPT_2,IN|gezRxCl,ukabu,PHÙ
浮かべる,うかべる,to float; to express,JLPT JLPT_2,Nj{^.3q>-V,ukaberu,PHÙ
浮く,うく,to float,JLPT JLPT_2,JS6e6ewLTQ,uku,PHÙ
承る,うけたまわる,"(humble) to hear, to be told, to know",JLPT JLPT_2,IKhK:kjp?E,uketamawaru,THỪA
受取,うけとり,receipt,JLPT JLPT_2,"k?,%G]kD{4",uketori,THỤ THỦ
受け持つ,うけもつ,to take (be in) charge of,JLPT JLPT_2,b1cU__S&E=,ukemotsu,THỤ TRÌ
薄暗い,うすぐらい,"dim, gloomy",JLPT JLPT_2,m6<YpAEgo!,usugurai,BẠC ÁM
薄める,うすめる,"to dilute, to water down",JLPT JLPT_2,F/33?d^ON{,usumeru,BẠC
打合せ,うちあわせ,"business meeting, previous arrangement",JLPT JLPT_2,I>LU.f-`NP,uchiawase,ĐẢ HỢP
打ち消す,うちけす,"to deny, to negate",JLPT JLPT_2,HCI~2sil9S,uchikesu,ĐẢ TIÊU
写る,うつる,"to be photographed, to be projected",JLPT JLPT_2,CI<Sr}lwt|,utsuru,TẢ
うどん,うどん,udon noodles (Japanese traditional noodles),Intermediate_Japanese_Ln.6 JLPT_2 JLPT Intermediate_Japanese,zUsFPVRoV;,udon,
うなずく,うなずく,to nod,JLPT JLPT_2,qP>fuv+29W,unazuku,
有無,うむ,"existence or nonexistence, presence of absence consent or refusal, yes or no",JLPT JLPT_2,zVa=(IGgn=,umu,HỮU VÔ
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",JLPT JLPT_2,wtEE639hh4,umeru,MAI
敬う,うやまう,"to show respect, to honor",JLPT JLPT_2,hRta^!r1WT,uyamau,KÍNH
裏返す,うらがえす,"to turn inside out, to turn (something) over",JLPT JLPT_2,cJR[<yA$vw,uragaesu,LÍ PHẢN
裏口,うらぐち,"backdoor, rear entrance",JLPT JLPT_2,xTA1N/QL{`,uraguchi,LÍ KHẨU
占う,うらなう,"to predict, to divine",JLPT JLPT_2,isAnLJU5w0,uranau,CHIÊM
恨み,うらみ,resentment,JLPT JLPT_2,"A+B,^3x]O=",urami,HẬN
恨む,うらむ,"to curse, to feel bitter",JLPT JLPT_2,D@R<vxJ)<U,uramu,HẬN
羨む,うらやむ,to envy,JLPT JLPT_2,tthSa[}tg_,urayamu,TIỆN
売上,うりあげ,"amount sold, proceeds",JLPT JLPT_2,p9d{%uQSR:,uriage,MẠI THƯỢNG
売り上げ,うりあげ,"amount sold, sales, proceeds, takings, turnover",JLPT JLPT_2,AV/DH?U*[&,uriage,MẠI THƯỢNG
売り切れ,うりきれ,sold-out,JLPT JLPT_2,J#x&HGI1=J,urikire,MẠI THIẾT
売り切れる,うりきれる,to be sold out,JLPT JLPT_2,Ls1JX0p>PP,urikireru,
売行き,うれゆき,sales,JLPT JLPT_2,t0r)gygLV,ureyuki,MẠI HÀNH
売れ行き,うれゆき,"sales, demand",JLPT JLPT_2,lFbE^~5.H1,ureyuki,MẠI HÀNH
うろうろ,うろうろ,"loitering, aimless wandering",JLPT JLPT_2,h0R8Gh3Y^Q,urouro,
上～,うわ～,upper ~,JLPT JLPT_2,IiRGZY[b#L,uwa~,THƯỢNG
運河,うんが,"canal, waterway",JLPT JLPT_2,os15ZQMcmE,unga,VẬN HÀ
うんと,うんと,"a great deal, very much",JLPT JLPT_2,K1|_U:?Zi2,unto,
英文,えいぶん,sentence in English,JLPT JLPT_2,N6cGn)]tI&,eibun,ANH VĂN
英和,えいわ,"English-Japanese (e.g., dictionary)",JLPT JLPT_2,iL]q/<ICwB,eiwa,ANH HÒA
ええと,ええと,"let me see, well, er...",JLPT JLPT_2,k9QoK3_%6*,eeto,
液体,えきたい,"liquid, fluid",JLPT JLPT_2,CdyMwPZr;-,ekitai,DỊCH THỂ
エチケット,エチケット,etiquette,JLPT JLPT_2,JD<(LA+lT8,echiketto,
絵の具,えのぐ,"colors, paints",JLPT JLPT_2,il.hIkd5@*,enogu,HỘI CỤ
エプロン,エプロン,apron,JLPT JLPT_2,iE$K!WaP&V,epuron,
偉い,えらい,"great, celebrated, remarkable,",JLPT JLPT_2,va_:XsaQZY,erai,VĨ
宴会,えんかい,"party, banquet",JLPT JLPT_2,i-sdwsFh$Z,enkai,YẾN HỘI
園芸,えんげい,"horticulture, gardening",JLPT JLPT_2,BqeOt&R7YG,engei,VIÊN VÂN
演劇,えんげき,play (theatrical),JLPT JLPT_2,"Otg5e*No,p",engeki,DIỄN KỊCH
円周,えんしゅう,circumference,JLPT JLPT_2,Q#$a9V=}iv,enshuu,VIÊN CHU
遠足,えんそく,"trip, hike, picnic",JLPT JLPT_2,K/i>jpon?&,ensoku,VIỄN TÚC
延長,えんちょう,"extension, prolongation",JLPT JLPT_2,kv5xP;(9Nh,enchou,DUYÊN TRƯỜNG
煙突,えんとつ,chimney,JLPT JLPT_2,vA~$8Qi$g7,entotsu,YÊN ĐỘT
オーケストラ,オーケストラ,orchestra,JLPT JLPT_2,E(IY~:+.r],ookesutora,
オートメーション,オートメーション,automation,JLPT JLPT_2,w$xtVM50Wd,ootomeeshon,
追いかける,おいかける,to chase or run after someone,JLPT JLPT_2,IwJw]GEFbC,oikakeru,
追い越す,おいこす,"to pass (e.g., car), to outdistance, to outstrip",JLPT JLPT_2,QFqJ-N@k`a,oikosu,TRUY VIỆT
オイル,オイル,oil,JLPT JLPT_2,lfd7.m*9JT,oiru,
応援,おうえん,"aid, assistance, help, support, reinforcement cheering, rooting (for), support",JLPT JLPT_2,"db6u7R<V*,",ouen,ỨNG VIÊN
